similarity,post,app,clone_range
93,20424147,SubtleNews/Android/App/stable/SubtleNews/Android/App-stable/app/src/main/java/in/ac/dtu/subtlenews/InstapaperViewer.java,138-167
100,21907131,WalletCordova/0.0.44/WalletCordova-0.0.44/platforms/android/src/org/apache/cordova/file/FileUtils.java,742-755
95,18402755,WalletCordova/0.0.68/WalletCordova-0.0.68/facebook-android-sdk-3.7/samples/SessionLoginSample/src/com/facebook/samples/sessionlogin/LoginUsingActivityActivity.java,39-60
98,18072755,WordPress-Android/2.9-beta-1/WordPress-Android-2.9-beta-1/src/org/wordpress/android/util/LinePageIndicator.java,177-258
92,8327136,ad-away/v2.1/ad-away-2.1/AdAway/android-libs/ActionBarSherlock/src/com/actionbarsherlock/internal/widget/ScrollingTabContainerView.java,241-254
100,6350808,afwall/1.1.9/afwall-1.1.9/src/net/margaritov/preference/colorpicker/ColorPickerPreference.java,152-162
100,6350808,android-bankdroid/v1.9.6.3/android-bankdroid-1.9.6.3/src/net/margaritov/preference/colorpicker/ColorPickerPreference.java,142-152
91,12854336,andstatus/AndStatus-1.14.0/andstatus-AndStatus-1.14.0/src/org/andstatus/app/util/AtTokenizer.java,47-58
100,20027718,frostwire-android/frostwire-1.4.4-build-165/frostwire-android-frostwire-1.4.4-build-165/apollo/src/com/viewpagerindicator/IconPageIndicator.java,152-168
100,20027718,frostwire-android/frostwire-1.4.4-build-165/frostwire-android-frostwire-1.4.4-build-165/apollo/src/com/viewpagerindicator/IconPageIndicator.java,58-71
94,8327136,frostwire-android/frostwire-1.4.4-build-168/frostwire-android-frostwire-1.4.4-build-168/apollo/src/com/viewpagerindicator/TabPageIndicator.java,240-256
95,8327136,frostwire-android/frostwire-1.4.4-build-168/frostwire-android-frostwire-1.4.4-build-168/apollo/src/com/viewpagerindicator/TabPageIndicator.java,96-120
100,8327136,frostwire-android/frostwire-1.4.4-build-168/frostwire-android-frostwire-1.4.4-build-168/apollo/src/com/viewpagerindicator/TabPageIndicator.java,122-135
93,11556928,k-9/4.328/k-9-4.328/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,832-852
100,11556928,k-9/4.328/k-9-4.328/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,696-720
100,11556928,k-9/4.328/k-9-4.328/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,567-589
100,11556928,k-9/4.328/k-9-4.328/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,854-866
100,11556928,k-9/4.328/k-9-4.328/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,677-689
92,8327136,k-9/4.701/k-9-4.701/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/ScrollingTabContainerView.java,242-255
93,11556928,k-9/4.900/k-9-4.900/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,832-852
100,11556928,k-9/4.900/k-9-4.900/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,854-866
100,11556928,k-9/4.900/k-9-4.900/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,677-689
100,11556928,k-9/4.900/k-9-4.900/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,567-589
100,11556928,k-9/4.900/k-9-4.900/plugins/ActionBarSherlock/library/src/com/actionbarsherlock/internal/widget/IcsAdapterView.java,696-720
96,22204093,mirakel-android/v2.2/mirakel-android-2.2/src/org/sufficientlysecure/donations/google/util/IabHelper.java,604-635
100,21299496,mirakel-android/v2.2/mirakel-android-2.2/src/org/sufficientlysecure/donations/google/util/IabHelper.java,368-421
91,16761418,opacclient/2.0.25/opacclient-2.0.25/src/org/apmem/tools/layouts/FlowLayout.java,69-189
100,16761418,opacclient/2.0.25/opacclient-2.0.25/src/org/apmem/tools/layouts/FlowLayout.java,250-264
100,16761418,opacclient/2.0.25/opacclient-2.0.25/src/org/apmem/tools/layouts/FlowLayout.java,369-388
100,16761418,opacclient/2.0.25/opacclient-2.0.25/src/org/apmem/tools/layouts/FlowLayout.java,266-324
91,13716593,open-keychain/v2.1.1/open-keychain-2.1.1/libraries/ActionBarSherlock/src/com/actionbarsherlock/internal/app/ActionBarImpl.java,319-331
